,description,num_genre
0,photo shoot ghana american model slips back time becomes enslaved plantation bears witness agony ancestral past,4
1,family murdered terrorist bombing young woman unknowingly lured joining group killed,4
2,big city life buzzes around lonely souls discover surprising sources connection companionship three tales love loss longing,4
3,son goes missing snowy hike mountains retired intelligence officer stop nothing risk everything find,4
4,four years last deadly shark attacks police chief martin brody fights protect amity island another killer great white,4
5,rookie cop one day prove veteran lapd narcotics officer receives crash course mentor questionable brand justice,4
6,powerful businesswoman political ambitions threatened underworld connections ensuing power struggle could cost everything,4
7,elisabeth john john live city inhabit different worlds passionate first love break class cultural barriers,4
8,family faces destruction long running conflict communities pits relatives amid attacks reprisals,4
9,wake sept attacks lawyer faces emotional reckoning attempts put dollar value lives lost based real events,4
10,wealthy industrialist dangerous obsession flight attendant destroys world takes matters hands exact revenge,4
11,drama details passionate three year romance romantic poet john keats died tragically age great love muse,4
12,daughter wealthy family returns college gets frosty welcome brother problems plans,4
13,meeting heated exchange social media two people different backgrounds begin online romance midst pandemic,4
14,couple must strive remain resilient regional hostilities drive beloved home refugee camp,4
15,detective investigates death ex lover grandfather uncovers secrets tycoon manipulative family,4
16,grieving widow daughter move estranged father law wyoming time allows heal forgive,4
17,drama follows wounded civil war soldier making long journey home faraway love fights survival deceased father farm,4
18,summer leave u soldier falls college student forced reenlist handwritten letters hold lovers together,4
19,lawyer defends illiterate man whose exploitation cruel boss working butcher buenos aires led tragedy based true case,4
20,risk students reading classics diary anne frank teacher asks keep journals troubled lives,4
21,biopic thurgood marshall first black u supreme court justice centers pivotal work sensational case naacp lawyer,4
22,wealthy couple whose marriage rocks befriends local homeless man changes perspectives inspiring true story,4
23,two shipwrecked children stranded years deserted island fall love teenagers attempt forge life isolated paradise,4
24,eight years young man framed murder coming lawyer opens case beginning tricky mission find real culprit,4
25,tracker u fish wildlife service assists rookie fbi agent investigating teen girl murder remote wyoming reservation,4
26,student tries steal test teacher home leaving dead accident string murders may professor revenge,4
27,provocative drama examines voyeuristic nature modern society affects three unusual couples northern india,4
28,mumbai top mob boss rules underworld honor compassion power hungry prot g shake world organized crime,4
29,turbulent sequel upon time mumbai carries saga gangland shoaib khan continues pressing control,4
30,rising black painter tries break competitive art world balancing unexpected romance ambitious law student,4
31,clash protest ends bloodshed forensic doctor journalist embark search elusive truth,4
32,meets debt ridden woman caring ailing father debt collector heart gold sets win love,4
33,faroe islands married woman meets reporter filming documentary overseas filipino workers soon sparks complicated love story,4
34,spirited exchange student american man fall love la romance faces uphill battle forced return england,4
35,years elope family wishes couple sons become caught throes conflict city,4
36,years mysterious murder parents traumatized woman gains supernatural powers aid quest revenge killers,4
37,love first sight young couple repelled concept marriage view shifts meet older couple neighbors,4
38,rude arrogant princess finds relying gatekeeper terrible accident may enough make change ways,4
39,woman tough neighborhood outside mexico city comes home rock star inadvertently provoking confrontation ghosts past,4
40,decades world war ii still shattered soldier unexpectedly falls love sees bizarre coincidence bring past back focus,4
41,husband accused taking part attempted military coup pregnant woman life takes emotional turn inspired true events,4
42,overweight victor hides world making pizzas mother gloomy dive new waitress blows disrupts isolation,4
43,sister accused multiple murders nigerian woman travels los angeles uncover truth fight sibling freedom,4
44,fbi agent makes mission put cunning con man frank abagnale jr behind bars frank eludes capture revels pursuit,4
45,teen cystic fibrosis shakes daily routine challenges hospital protocol falls fellow patient,4
46,woman reports infant son kidnapped black man african american detective white activist team dig details,4
47,workaholic reconnects two men blocked social media five years ago begins reflect past life choices,4
48,chance history divine intervention cast eclectic characters weaves warps lives random day california,4
49,coming age charmer follows summer life year old girl learns love loss grapples profound changes,4
50,ungainly looking colt becomes winning thoroughbred depression era drama based true story champion racehorse seabiscuit,4
51,street wise defense lawyer operates back seat lincoln lands high profile case soon puts family danger,4
52,haunted gaunt prolonged bout insomnia factory worker trevor reznik begins question sanity amid series mysterious events,4
53,aspiring filmmaker grapples decision study abroad norway meets insightful peculiar owner curious coffee shop,4
54,decade prison palestinian man dark secret returns west bank searches daughter lost long ago,4
55,husband placed israeli detention palestinian newlywed left deal fallout resorting passion dabke cope,4
56,working mossad spy assigned tehran rachel reaches breaking point dangerously hard tell whose side,4
57,disgruntled south african woman leaves fianc embezzles money job pursue dream broadway star new york city,4
58,finding trove love letters reporter sets solve mystery secret affair embarking romance,4
59,separated children three cousins unshakeable bond confront painful pasts embark emotional journey find,4
60,two cops must contend uncooperative tenants apartment complex try solve murder crime scene wiped clean,4
61,impoverished neighborhood son swordsman falls love daughter wedding singer taboo match traditional society,4
62,businessman returns home nigeria falls love friend sister despite family plan marry politician daughter,4
63,four insomniac med school students lured neuroscience experiment spirals control must find way late,4
64,civil war wounded union soldier takes refuge southern girls school rupturing calm amid growing sexual tension infighting,4
65,year old vows help new neighbor suspects danger documents efforts series written entries audio recordings,4
66,dream wedding bella edward enter new nightmare shocking development forces life death decisions,4
